state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Uttar Pradesh,Auraiya,Achalda APMC,Potato,Other,FAQ,18/04/2026,500.0,500.0,500.0
Uttar Pradesh,Chitrakut,Karvi APMC,Bengal Gram(Gram)(Whole),Desi (Whole),Grade Range-3,18/04/2026,5875.0,5875.0,5875.0
Uttar Pradesh,Chitrakut,Karvi APMC,Barley(Jau),Dara,Grade Range-3,18/04/2026,2300.0,2300.0,2300.0
Uttar Pradesh,Chitrakut,Karvi APMC,Paddy(Common),Common,FAQ,18/04/2026,2799.99,2800.0,2800.0
Uttar Pradesh,Chitrakut,Karvi APMC,Wheat,Medium,FAQ,18/04/2026,2590.0,2600.0,2592.55
Uttar Pradesh,Ghazipur,Saidpur APMC,Firewood,Firewood,FAQ,18/04/2026,480.0,480.0,480.0
Uttarakhand,Haridwar,Roorkee APMC,Bottle gourd,Other,Local,18/04/2026,600.0,800.0,700.0
Uttar Pradesh,Agra,Achnera APMC,Tomato,Other,FAQ,18/04/2026,1000.0,1000.0,1000.0
Punjab,Mohali,Kharar APMC,Potato,Potato,Non-FAQ,18/04/2026,400.0,600.0,500.0
Punjab,Mohali,Kharar APMC,Onion,Other,Non-FAQ,18/04/2026,1300.0,2000.0,1500.0
Punjab,Mohali,Kharar APMC,Green Chilli,Green Chilly,Local,18/04/2026,3000.0,4000.0,3200.0
Uttar Pradesh,Mirzapur,Ahirora APMC,Paddy(Common),Common,Non-FAQ,18/04/2026,2300.0,2400.0,2400.0
Uttar Pradesh,Mirzapur,Ahirora APMC,Wheat,Wheat,Non-FAQ,18/04/2026,2410.0,2450.0,2450.0
Uttar Pradesh,Mirzapur,Ahirora APMC,Carrot,Carrot,Medium,18/04/2026,1000.0,1200.0,1100.0
Uttar Pradesh,Mirzapur,Ahirora APMC,Cowpea(Veg),Cowpea (Veg),Medium,18/04/2026,3000.0,3500.0,3500.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Papaya,Papaya,Local,18/04/2026,800.0,2500.0,1600.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Orange,Orange,Local,18/04/2026,4000.0,8000.0,6000.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Bhindi(Ladies Finger),Bhindi,Local,18/04/2026,800.0,2000.0,1400.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Spinach,Other,Local,18/04/2026,400.0,800.0,600.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Methi(Leaves),Methi,Local,18/04/2026,600.0,1500.0,1000.0
