state,district,market,commodity,arrival_date,min_price,max_price,modal_price,demand_label
Andhra Pradesh,Krishna,Vijayawada,Chilli,2024-11-03,4607.33,7508.33,5753.35,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Turmeric,2023-05-14,4169.37,7000.31,5513.36,Medium
Andhra Pradesh,Krishna,Vijayawada,Cotton,2024-06-28,844.24,1531.02,1109.2,Low
Andhra Pradesh,Nellore,Nellore,Cotton,2025-04-02,1216.43,1654.31,1454.25,Medium
Andhra Pradesh,Chittoor,Tirupati,Tomato,2024-11-13,2756.06,4238.89,3390.88,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Sugarcane,2024-07-22,4118.96,5389.66,4578.18,Medium
Andhra Pradesh,Krishna,Vijayawada,Turmeric,2025-06-05,4186.42,5355.71,4793.91,Medium
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Maize,2024-07-27,3750.19,5913.73,4436.23,High
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Potato,2024-06-19,1213.72,1760.82,1506.21,Low
Andhra Pradesh,Nellore,Nellore,Onion,2026-04-14,2339.61,3367.32,2609.3,High
Andhra Pradesh,Chittoor,Tirupati,Banana,2024-05-23,1998.39,3693.04,2844.62,Medium
Andhra Pradesh,Prakasam,Ongole,Turmeric,2023-10-08,2354.66,4450.64,3306.24,Medium
Andhra Pradesh,Prakasam,Ongole,Rice,2023-05-10,729.51,1204.61,976.04,Low
Andhra Pradesh,Guntur,Guntur,Maize,2025-05-23,3289.61,4350.42,3656.0,Medium
Andhra Pradesh,East Godavari,Rajahmundry,Sugarcane,2025-04-04,1397.04,2300.49,1786.43,Medium
Andhra Pradesh,Krishna,Vijayawada,Rice,2026-02-18,2512.75,3644.29,2935.42,Medium
Andhra Pradesh,Krishna,Vijayawada,Maize,2025-03-03,907.33,1529.49,1243.53,Medium
Andhra Pradesh,Nellore,Nellore,Mango,2025-06-12,7478.4,12028.35,8636.64,High
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Sugarcane,2025-11-05,395.46,710.43,545.81,Medium
Andhra Pradesh,Kurnool,Kurnool,Rice,2024-07-06,1644.63,2280.46,1917.7,Medium
Andhra Pradesh,Prakasam,Ongole,Turmeric,2024-02-07,3505.43,5246.26,3957.45,High
Andhra Pradesh,East Godavari,Rajahmundry,Wheat,2025-02-08,1314.72,1863.54,1500.45,Medium
